Athlete Name,Year,Event,Score,Created At,Updated At
"Talano Brown","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:04.00296+00:00","2025-08-31T02:33:04.00296+00:00"
"Staciya Smith","2024-2025","2024 Kazumi open",10,"2025-08-31T02:33:03.719488+00:00","2025-08-31T02:33:03.719488+00:00"
"Staciya Smith","2024-2025","2024 Kata Classic",10,"2025-08-31T02:33:03.617564+00:00","2025-08-31T02:33:03.617564+00:00"
"Rhiann Brown","2024-2025","2024 Kata Classic",10,"2025-08-31T02:33:03.298756+00:00","2025-08-31T02:33:03.298756+00:00"
"Odin Flanagan","2024-2025","2025 Lepercq Memorial",10,"2025-08-31T02:33:02.997163+00:00","2025-08-31T02:33:02.997163+00:00"
"Odin Flanagan","2024-2025","2025 Shiai",5,"2025-08-31T02:33:02.893434+00:00","2025-08-31T02:33:02.893434+00:00"
"Odin Flanagan","2024-2025","2024 Kazumi open",5,"2025-08-31T02:33:02.798014+00:00","2025-08-31T02:33:02.798014+00:00"
"Noah Lowe","2024-2025","2025 Shiai",10,"2025-08-31T02:33:02.506176+00:00","2025-08-31T02:33:02.506176+00:00"
"Nasii Gibbons","2024-2025","2024 Kazumi open",2,"2025-08-31T02:33:02.165453+00:00","2025-08-31T02:33:02.165453+00:00"
"Miguel Bolerihno","2024-2025","2024 Kazumi open",10,"2025-08-31T02:33:01.930746+00:00","2025-08-31T02:33:01.930746+00:00"
"Miguel Bolerihno","2024-2025","2024 Kata Classic",10,"2025-08-31T02:33:01.82626+00:00","2025-08-31T02:33:01.82626+00:00"
"Michael Burgess","2024-2025","2025 Lepercq Memorial",20,"2025-08-31T02:33:01.615088+00:00","2025-08-31T02:33:01.615088+00:00"
"Michael Burgess","2024-2025","2025 Shiai",30,"2025-08-31T02:33:01.513607+00:00","2025-08-31T02:33:01.513607+00:00"
"Michael Burgess","2024-2025","2024 Kazumi open",35,"2025-08-31T02:33:01.400163+00:00","2025-08-31T02:33:01.400163+00:00"
"Michael Burgess","2024-2025","2024 Kata Classic",25,"2025-08-31T02:33:01.300647+00:00","2025-08-31T02:33:01.300647+00:00"
"Micah Lawrence","2024-2025","2025 Shiai",15,"2025-08-31T02:33:00.990334+00:00","2025-08-31T02:33:00.990334+00:00"
"Mia White","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:33:00.786031+00:00","2025-10-01T02:50:35.883172+00:00"
"Mia White","2024-2025","2024 Kazumi open",25,"2025-08-31T02:33:00.645979+00:00","2025-10-01T02:50:35.801808+00:00"
"Mia White","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:00.527398+00:00","2025-10-01T02:50:35.717501+00:00"
"Maiya Caisey","2024-2025","2024 Kazumi open",5,"2025-08-31T02:33:00.217106+00:00","2025-08-31T02:33:00.217106+00:00"
"Khwai Mendoza","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:32:59.933642+00:00","2025-08-31T02:32:59.933642+00:00"
"Khwai Mendoza","2024-2025","2025 Shiai",10,"2025-08-31T02:32:59.827176+00:00","2025-08-31T02:32:59.827176+00:00"
"Khwai Mendoza","2024-2025","2024 Kazumi open",25,"2025-08-31T02:32:59.731052+00:00","2025-08-31T02:32:59.731052+00:00"
"Kamila Simons","2024-2025","2024 Kazumi open",10,"2025-08-31T02:32:59.393699+00:00","2025-08-31T02:32:59.393699+00:00"
"Joah Simons","2024-2025","2024 Kazumi open",5,"2025-08-31T02:32:59.106512+00:00","2025-08-31T02:32:59.106512+00:00"
"Jayden Lambert","2024-2025","2024 Kazumi open",5,"2025-08-31T02:32:58.799115+00:00","2025-08-31T02:32:58.799115+00:00"
"Jayden Lambert","2024-2025","2024 Kata Classic",15,"2025-08-31T02:32:58.709217+00:00","2025-08-31T02:32:58.709217+00:00"
